watermarked_file,attacked_file,std,seed,saved
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std0p050_watermarked_buildings.bmp,0.05,42,1
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std0p100_watermarked_buildings.bmp,0.1,42,1
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std0p200_watermarked_buildings.bmp,0.2,42,1
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std0p500_watermarked_buildings.bmp,0.5,42,1
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std1p000_watermarked_buildings.bmp,1.0,42,1
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std2p000_watermarked_buildings.bmp,2.0,42,1
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std3p000_watermarked_buildings.bmp,3.0,42,1
watermarked_images/watermarked_buildings.bmp,attacked_images/attacked_std5p000_watermarked_buildings.bmp,5.0,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std0p050_watermarked_rollercoaster.bmp,0.05,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std0p100_watermarked_rollercoaster.bmp,0.1,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std0p200_watermarked_rollercoaster.bmp,0.2,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std0p500_watermarked_rollercoaster.bmp,0.5,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std1p000_watermarked_rollercoaster.bmp,1.0,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std2p000_watermarked_rollercoaster.bmp,2.0,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std3p000_watermarked_rollercoaster.bmp,3.0,42,1
watermarked_images/watermarked_rollercoaster.bmp,attacked_images/attacked_std5p000_watermarked_rollercoaster.bmp,5.0,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std0p050_watermarked_tree.bmp,0.05,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std0p100_watermarked_tree.bmp,0.1,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std0p200_watermarked_tree.bmp,0.2,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std0p500_watermarked_tree.bmp,0.5,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std1p000_watermarked_tree.bmp,1.0,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std2p000_watermarked_tree.bmp,2.0,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std3p000_watermarked_tree.bmp,3.0,42,1
watermarked_images/watermarked_tree.bmp,attacked_images/attacked_std5p000_watermarked_tree.bmp,5.0,42,1
