beta,gamma,Q,soft_t,soft_k,wpsnr_mean,robustness_mean,num_images,num_attacks,notes
0.4,0.2,0.6,0.1,0.4,57.712286846980874,0.5294117647058824,3,17,
0.4,0.2,0.6,0.1,0.6,57.71506230825068,0.5098039215686274,3,17,
0.4,0.2,0.6,0.15,0.4,57.709176468868044,0.5098039215686274,3,17,
0.4,0.2,0.6,0.15,0.6,57.71457797854956,0.5294117647058824,3,17,
0.4,0.2,0.6,0.2,0.4,57.70783624205612,0.5294117647058824,3,17,
0.4,0.2,0.6,0.2,0.6,57.713281105642125,0.5098039215686274,3,17,
0.4,0.2,0.8,0.1,0.4,57.7157041106002,0.5098039215686274,3,17,
0.4,0.2,0.8,0.1,0.6,57.719134991174464,0.5294117647058824,3,17,
0.4,0.2,0.8,0.15,0.4,57.71572487237548,0.5098039215686274,3,17,
0.4,0.2,0.8,0.15,0.6,57.71856683236232,0.4901960784313726,3,17,
0.4,0.2,0.8,0.2,0.4,57.711399491559234,0.4901960784313726,3,17,
0.4,0.2,0.8,0.2,0.6,57.71549504731373,0.4901960784313726,3,17,
0.4,0.2,1.0,0.1,0.4,57.725108279391996,0.4705882352941176,3,17,
0.4,0.2,1.0,0.1,0.6,57.727104698434175,0.4901960784313726,3,17,
0.4,0.2,1.0,0.15,0.4,57.72403452414326,0.4705882352941176,3,17,
0.4,0.2,1.0,0.15,0.6,57.728211014938836,0.4705882352941176,3,17,
0.4,0.2,1.0,0.2,0.4,57.72157899118082,0.45098039215686275,3,17,
0.4,0.2,1.0,0.2,0.6,57.72720322426904,0.45098039215686275,3,17,
0.4,0.4,0.6,0.1,0.4,57.71012339570003,0.5098039215686274,3,17,
0.4,0.4,0.6,0.1,0.6,57.713434718949884,0.5098039215686274,3,17,
0.4,0.4,0.6,0.15,0.4,57.7074289479485,0.4901960784313726,3,17,
0.4,0.4,0.6,0.15,0.6,57.713872117394374,0.5294117647058824,3,17,
0.4,0.4,0.6,0.2,0.4,57.70574532559499,0.4901960784313726,3,17,
0.4,0.4,0.6,0.2,0.6,57.71251116531983,0.5294117647058824,3,17,
0.4,0.4,0.8,0.1,0.4,57.71239490740633,0.4901960784313726,3,17,
0.4,0.4,0.8,0.1,0.6,57.71502520552597,0.5098039215686274,3,17,
0.4,0.4,0.8,0.15,0.4,57.71240574040479,0.5294117647058824,3,17,
0.4,0.4,0.8,0.15,0.6,57.7139022441749,0.5294117647058824,3,17,
0.4,0.4,0.8,0.2,0.4,57.7085247439743,0.4901960784313726,3,17,
0.4,0.4,0.8,0.2,0.6,57.71236001661506,0.5294117647058824,3,17,
0.4,0.4,1.0,0.1,0.4,57.72498871469341,0.45098039215686275,3,17,
0.4,0.4,1.0,0.1,0.6,57.727498131476146,0.4901960784313726,3,17,
0.4,0.4,1.0,0.15,0.4,57.72324974441235,0.5098039215686274,3,17,
0.4,0.4,1.0,0.15,0.6,57.72846023907675,0.4901960784313726,3,17,
0.4,0.4,1.0,0.2,0.4,57.719983913342844,0.45098039215686275,3,17,
0.4,0.4,1.0,0.2,0.6,57.72668633303298,0.45098039215686275,3,17,
0.4,0.6,0.6,0.1,0.4,57.707925507560276,0.5098039215686274,3,17,
0.4,0.6,0.6,0.1,0.6,57.7120983782493,0.5294117647058824,3,17,
0.4,0.6,0.6,0.15,0.4,57.70445464284822,0.5098039215686274,3,17,
0.4,0.6,0.6,0.15,0.6,57.7123230163887,0.5098039215686274,3,17,
0.4,0.6,0.6,0.2,0.4,57.703299038644595,0.5098039215686274,3,17,
0.4,0.6,0.6,0.2,0.6,57.7112316999918,0.5294117647058824,3,17,
0.4,0.6,0.8,0.1,0.4,57.71104767634791,0.5098039215686274,3,17,
0.4,0.6,0.8,0.1,0.6,57.713872889631865,0.5098039215686274,3,17,
0.4,0.6,0.8,0.15,0.4,57.71081557834202,0.4901960784313726,3,17,
0.4,0.6,0.8,0.15,0.6,57.712906316499954,0.5098039215686274,3,17,
0.4,0.6,0.8,0.2,0.4,57.70774468866637,0.5294117647058824,3,17,
0.4,0.6,0.8,0.2,0.6,57.71180950515559,0.5098039215686274,3,17,
0.4,0.6,1.0,0.1,0.4,57.723203188031725,0.45098039215686275,3,17,
0.4,0.6,1.0,0.1,0.6,57.72610245162682,0.4705882352941176,3,17,
0.4,0.6,1.0,0.15,0.4,57.72192437526542,0.4313725490196078,3,17,
0.4,0.6,1.0,0.15,0.6,57.72754459326752,0.4705882352941176,3,17,
0.4,0.6,1.0,0.2,0.4,57.71852092478733,0.4313725490196078,3,17,
0.4,0.6,1.0,0.2,0.6,57.72515242005179,0.4901960784313726,3,17,
0.6,0.2,0.6,0.1,0.4,57.71039755826746,0.5098039215686274,3,17,
0.6,0.2,0.6,0.1,0.6,57.7147374668864,0.5098039215686274,3,17,
0.6,0.2,0.6,0.15,0.4,57.706478813401866,0.5098039215686274,3,17,
