image_filename,watermarked_filename,wpsnr_dB
0000.bmp,v1_2_0000.bmp,58.1766
0001.bmp,v1_2_0001.bmp,58.8397
0002.bmp,v1_2_0002.bmp,57.7732
0003.bmp,v1_2_0003.bmp,57.9320
0004.bmp,v1_2_0004.bmp,57.8511
0005.bmp,v1_2_0005.bmp,58.6653
0006.bmp,v1_2_0006.bmp,57.7546
0007.bmp,v1_2_0007.bmp,57.7936
0008.bmp,v1_2_0008.bmp,58.3472
0009.bmp,v1_2_0009.bmp,57.8080
0010.bmp,v1_2_0010.bmp,58.7225
0011.bmp,v1_2_0011.bmp,57.8130
0012.bmp,v1_2_0012.bmp,57.8087
0013.bmp,v1_2_0013.bmp,57.7068
0014.bmp,v1_2_0014.bmp,57.8903
0015.bmp,v1_2_0015.bmp,57.8083
0016.bmp,v1_2_0016.bmp,58.0807
0017.bmp,v1_2_0017.bmp,57.6663
0018.bmp,v1_2_0018.bmp,57.7443
0019.bmp,v1_2_0019.bmp,57.7215
0020.bmp,v1_2_0020.bmp,58.0307
0021.bmp,v1_2_0021.bmp,58.1797
0022.bmp,v1_2_0022.bmp,57.7398
0023.bmp,v1_2_0023.bmp,57.9812
0024.bmp,v1_2_0024.bmp,58.5647
0025.bmp,v1_2_0025.bmp,58.0484
0026.bmp,v1_2_0026.bmp,57.8101
0027.bmp,v1_2_0027.bmp,57.9201
0028.bmp,v1_2_0028.bmp,57.8030
0029.bmp,v1_2_0029.bmp,57.9377
0030.bmp,v1_2_0030.bmp,58.5518
0031.bmp,v1_2_0031.bmp,58.7551
0032.bmp,v1_2_0032.bmp,57.8144
0033.bmp,v1_2_0033.bmp,57.8924
0034.bmp,v1_2_0034.bmp,58.1452
0035.bmp,v1_2_0035.bmp,57.8326
0036.bmp,v1_2_0036.bmp,57.9147
0037.bmp,v1_2_0037.bmp,57.8065
0038.bmp,v1_2_0038.bmp,57.8052
0039.bmp,v1_2_0039.bmp,58.0112
0040.bmp,v1_2_0040.bmp,57.7406
0041.bmp,v1_2_0041.bmp,57.8624
0042.bmp,v1_2_0042.bmp,57.7075
0043.bmp,v1_2_0043.bmp,58.2937
0044.bmp,v1_2_0044.bmp,59.2333
0045.bmp,v1_2_0045.bmp,58.1156
0046.bmp,v1_2_0046.bmp,57.6464
0047.bmp,v1_2_0047.bmp,57.8232
0048.bmp,v1_2_0048.bmp,58.1588
0049.bmp,v1_2_0049.bmp,57.7055
0050.bmp,v1_2_0050.bmp,57.7277
0051.bmp,v1_2_0051.bmp,57.8722
0052.bmp,v1_2_0052.bmp,57.9255
0053.bmp,v1_2_0053.bmp,57.7509
0054.bmp,v1_2_0054.bmp,58.2541
0055.bmp,v1_2_0055.bmp,59.1631
0056.bmp,v1_2_0056.bmp,57.9744
0057.bmp,v1_2_0057.bmp,57.7361
0058.bmp,v1_2_0058.bmp,57.7732
0059.bmp,v1_2_0059.bmp,57.7145
0060.bmp,v1_2_0060.bmp,57.7678
0061.bmp,v1_2_0061.bmp,57.7704
0062.bmp,v1_2_0062.bmp,58.0858
0063.bmp,v1_2_0063.bmp,58.1552
0064.bmp,v1_2_0064.bmp,57.7966
0065.bmp,v1_2_0065.bmp,57.8669
0066.bmp,v1_2_0066.bmp,58.4365
0067.bmp,v1_2_0067.bmp,57.6746
0068.bmp,v1_2_0068.bmp,57.7720
0069.bmp,v1_2_0069.bmp,57.8038
0070.bmp,v1_2_0070.bmp,57.8739
0071.bmp,v1_2_0071.bmp,57.8120
0072.bmp,v1_2_0072.bmp,57.7886
0073.bmp,v1_2_0073.bmp,58.0236
0074.bmp,v1_2_0074.bmp,57.8089
0075.bmp,v1_2_0075.bmp,57.9682
0076.bmp,v1_2_0076.bmp,58.3383
0077.bmp,v1_2_0077.bmp,57.8159
0078.bmp,v1_2_0078.bmp,57.8048
0079.bmp,v1_2_0079.bmp,58.1749
0080.bmp,v1_2_0080.bmp,58.0148
0081.bmp,v1_2_0081.bmp,57.8672
0082.bmp,v1_2_0082.bmp,58.0396
0083.bmp,v1_2_0083.bmp,57.7656
0084.bmp,v1_2_0084.bmp,57.8857
0085.bmp,v1_2_0085.bmp,58.4486
0086.bmp,v1_2_0086.bmp,58.0667
0087.bmp,v1_2_0087.bmp,58.0554
0088.bmp,v1_2_0088.bmp,58.1036
0089.bmp,v1_2_0089.bmp,58.3472
0090.bmp,v1_2_0090.bmp,57.7398
0091.bmp,v1_2_0091.bmp,57.7315
0092.bmp,v1_2_0092.bmp,57.7041
0093.bmp,v1_2_0093.bmp,59.1046
0094.bmp,v1_2_0094.bmp,57.8130
0095.bmp,v1_2_0095.bmp,57.7957
0096.bmp,v1_2_0096.bmp,57.8755
0097.bmp,v1_2_0097.bmp,57.7805
0098.bmp,v1_2_0098.bmp,58.1299
0099.bmp,v1_2_0099.bmp,57.8919
0100.bmp,v1_2_0100.bmp,57.8783
buildings.bmp,v1_2_buildings.bmp,57.7966
rollercoaster.bmp,v1_2_rollercoaster.bmp,58.4232
tree.bmp,v1_2_tree.bmp,57.7873
